type,title,abstract,journal,author,year,keywords,filename,id,sens_acc,sens_gyr,sens_gps,sens_mic,sens_cam,perv_pill,perv_ecg,perv_wearable,ux_gui,ux_gesture,ux_voice,ux_text,ux_back,media_text,media_image,media_audio,media_video,media_anim,feat_use,feat_promp,feat_soc,feat_hcp,feat_learn,feat_prog,feat_ca,feat_ass,feat_vr,feat_ar,feat_pers,feat_game,anal_ml,anal_beh,anal_act,anal_sp,os_ios,os_and,app_name,geo_loc,md,md_id,md_desc,md_mul,md_sub,fmw_cbt,fmw_hum,fmw_sys,fmw_psy,fmw_wav,fmw_tra,fmw_pos,fmw_other,fmw_nk,val_ed,val_res,val_n,val_n2,val_ec,val_done,val_type,val_edrct,geo_ctry
Article,Barriers and facilitators to mobile application use during PTSD treatment: Clinician adoption of PE coach,"Providers have many options when considering mobile applications (apps) to potentially incorporate into their practice. PE Coach is a patient-facing mobile app developed to support providers and their patients engaged in prolonged exposure (PE) therapy for posttraumatic stress disorder (PTSD). Little is known about how providers and their patients use the various features of mental health mobile apps, in general, and PE Coach in particular. This article summarizes findings from qualitative semistructured interviews with 25 PE providers who reported using PE Coach with a total of 450 patients with PTSD. Categories of responses included how providers decided to use PE Coach, aspects and features of PE Coach appreciated, and their perspectives on patient use of the app. Facilitators of PE Coach use included the positive impact of a treatment-companion app on patient perceptions of treatment credibility, the side-by-side collaboration enabled by the app, the consolidation of treatment forms and resources on the patient's phone, and the therapist perceptions of benefits to their patients by app use. Some of the barriers to use included technical challenges, feature differences between the Android and iOS versions of the app, inadequate knowledge of available features, and the lack of an archive of previously completed homework and assessment forms. Results provide useful information about how to better promote the adoption of PE Coach, increase full feature use, improve the app, and could help generate hypotheses for exploring how other behavioral health technologies are used.",Professional Psychology: Research and Practice,G.M. Reger and K.C. Browne and T.R. Campellone and C. Simons and E. Kuhn and J.C. Fortney and G.G. Sayre and H.S. Reisinger,2017,NA,049 - Barriers and Facilitators to Mobile,049,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NOT KNOWN,YES,NO,YES,YES,YES,NO,NOT KNOWN,NO,NO,YES,YES,NO,NOT KNOWN,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,PE Coach,United States of America,7-Trauma and stressor-related disorders,7,Trauma and stressor-related disorders,NA,NA,YES,NO,NO,NO,NO,NO,NO,NO,NO,QUALITATIVE STUDY,"Facilitators to adoption included being introduced to the app by a supervisor, trusted colleague, or during a training experience. Aspects of the app also facilitated adoption and use through enhanced credibility of treatment, convenience of and engagement in completing PE tasks, and provider-patient collaboration. Significant barriers that were noted included technical challenges, differences between the iOS and Android versions of PE Coach, lack of awareness of app features, inability of the provider to readily keep an archive of homework completed (as data from the app cannot be shared), and patients lacking comfort and proficiency using mobile devices.",25,NA,Providers who had used the app,YES,USABILITY/UX,NO,United States of America
Article,Beat the Fear of Public Speaking: Mobile 360 degrees Video Virtual Reality Exposure Training in Home Environment Reduces Public Speaking Anxiety,"With this article, we aim to increase our understanding of how mobile virtual reality exposure therapy (VRET) can help reduce speaking anxiety. Using the results of a longitudinal study, we examined the effect of a new VRET strategy (Public Speech Trainer, PST), that incorporates 360 degrees live recorded VR environments, on the reduction of public speaking anxiety. The PST was developed as a 360 degrees smartphone application for a VR head-mounted device that participants could use at home. Realistic anxiety experiences were created by means of live 360 degrees video recordings of a lecture hall containing three training sessions based on graded exposure framework; empty classroom (a) and with a small (b) and large audience (c). Thirty-five students participated in all sessions using PST. Anxiety levels were measured before and after each session over a period of 4 weeks. As expected, speaking anxiety significantly decreased after the completion of all PST sessions, and the decrement was the strongest in participants with initially high speaking anxiety baseline levels. Results also revealed that participants with moderate and high speaking anxiety baseline level differ in the anxiety state pattern over time. Conclusively and in line with habituation theory, the results supported the notion that VRET is more effective when aimed at reducing high-state anxiety levels. Further implications for future research and improvement of current VRET strategies are discussed.",CYBERPSYCHOLOGY BEHAVIOR AND SOCIAL NETWORKING,Snezana Stupar-Rutenfrans and Loes E. H. Ketelaars and Marnix S. {van Gisbergen},2017,"360 degrees video VRET, graded exposure, public speaking anxiety",050 - Beat the Fear of Public Speaking,050,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NOT KNOWN,NO,NOT KNOWN,YES,NOT KNOWN,NO,NO,NO,NO,NO,NOT KNOWN,NO,NOT KNOWN,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,Public Speech Trainer (PST),The Netherlands,5-Anxiety disorders,5,Anxiety disorders,NA,NA,NO,NO,NO,NO,NO,NO,NO,NO,NO,LONGITUDINAL QUASI-EXPERIMENTAL DESIGN,"Speaking anxiety significantly decreased after the completion of all PST sessions, and the decrement was the strongest in
participants with initially high speaking anxiety baseline levels. Results also revealed that participants with moderate
and high speaking anxiety baseline level differ in the anxiety state pattern over time. Conclusively and in line with
habituation theory, the results supported the notion that VRET is more effective when aimed at reducing high-state
anxiety levels.",35,NA,Intervention condition (experimental); There is not any control group.,YES,EFFECT,NO,The Netherlands
Article,Behavioural activation versus mindfulness-based guided self-help treatment administered through a smartphone application: A randomised controlled trial,"Objectives: Evaluating and comparing the effectiveness of two smartphone-delivered treatments: one based on behavioural activation (BA) and other on mindfulness. Design: Parallel randomised controlled, open, trial. Participants were allocated using an online randomisation tool, handled by an independent person who was separate from the staff conducting the study. Setting: General community, with recruitment nationally through mass media and advertisements. Participants: 40 participants diagnosed with major depressive disorder received a BA treatment, and 41 participants received a mindfulness treatment. 9 participants were lost at the post-treatment. Intervention: BA: An 8-week long behaviour programme administered via a smartphone application. Mindfulness: An 8-week long mindfulness programme, administered via a smartphone application. Main outcome measures: The Beck Depression Inventory-II (BDI-II) and the nine-item Patient Health Questionnaire Depression Scale (PHQ-9). Results: 81 participants were randomised (mean age 36.0 years (SD=10.8)) and analysed. Results showed no significant interaction effects of group and time on any of the outcome measures either from pretreatment to post-treatment or from pretreatment to the 6-month follow-up. Subgroup analyses showed that the BA treatment was more effective than the mindfulness treatment among participants with higher initial severity of depression from pretreatment to the 6-month follow-up (PHQ-9: F (1, 362.1)=5.2, p{\textbackslash}textless0.05). In contrast, the mindfulness treatment worked better than the BA treatment among participants with lower initial severity from pretreatment to the 6-month follow-up (PHQ-9: F (1, 69.3)=7.7, p{\textbackslash}textless0.01); BDI-II: (F(1, 53.60)=6.25, p{\textbackslash}textless0.05). Conclusions: The two interventions did not differ significantly from one another. For participants with higher severity of depression, the treatment based on BA was superior to the treatment based on mindfulness. For participants with lower initial severity, the treatment based on mindfulness worked significantly better than the treatment based on BA.",BMJ Open,K.H. Ly and A. TrÃ¼schel and L. Jarl and S. Magnusson and T. Windahl and R. Johansson and P. Carlbring and G. Andersson,2014,"adult, controlled study, depression, female, human, male, mobile application, open study, article, self report, behavior, comparative study, surface property, employment status, middle aged, mindfulness, randomized controlled trial, major clinical study, treatment duration, follow up, disease severity, psychological rating scale, major depression, behavior therapy, psychoeducation, psychotherapy, young adult, mobile phone, Adult, Female, Humans, Male, Middle Aged, quality of life, scoring system, generalized anxiety disorder, smartphone, Mobile Applications, Young Adult, DSM-IV, self care, Psychiatric Status Rating Scales, Depressive Disorder, Major, social phobia, Beck Depression Inventory, suicidal ideation, Mindfulness, self help, Self Care, Smartphone, Behavior Therapy, structured interview, telephone interview, Beck Anxiety Inventory, panic, mass medium, dysthymia, instrumental conditioning, advertizing, behavioural activation",051 - Behavioural activation versus,051,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NOT KNOWN,YES,NOT KNOWN,NOT KNOWN,NO,NOT KNOWN,YES,NO,NOT KNOWN,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NOT KNOWN,NA,Sweden,4-Depressive disorders,4,Depressive disorders,NA,NA,YES,NO,NO,NO,YES,NO,NO,NO,NO,PARALLEL RANDOMIZED CONTROLLED OPEN TRIAL,"Results showed no significant interaction effects of group and time on any of the outcome measures either from pretreatment to post-treatment or from pretreatment
to the 6-month follow-up. Subgroup analyses showed
that the BA treatment was more effective than the
mindfulness treatment among participants with higher
initial severity of depression from pretreatment to the
6-month follow-up (PHQ-9: F (1, 362.1)=5.2, p<0.05).
In contrast, the mindfulness treatment worked better
than the BA treatment among participants with lower
initial severity from pretreatment to the 6-month
follow-up (PHQ-9: F (1, 69.3)=7.7, p<0.01); BDI-II:
(F(1, 53.60)=6.25, p<0.05). The two interventions did not differ significantly from one another. For participants with
higher severity of depression, the treatment based on BA was superior to the treatment based on mindfulness. For participants with lower initial severity, the treatment based on mindfulness worked significantly better than the treatment based on BA.",81,NA,1.Behavioral Activation intervention (N=40); 2. Mindfulness treatment (N=41),YES,EFFECT AND USABILITY/UX,RCT,Sweden
Article,Case Examples of Enhancing Pediatric OCD Treatment with a Smartphone Application,"These case examples depict the use of a smartphone application, Mayo Clinic Anxiety Coach, to enhance the treatment of pediatric obsessive-compulsive disorder (OCD). The presented cases highlight the use of Anxiety Coach as a stand-alone intervention for mild OCD symptoms and as an adjunct to treatment for severe OCD complicated by geographical barriers. Each case includes a description of treatment, patient use of the application, objective assessment of clinical symptoms, and a qualitative interview with the families. Both patients responded well to treatment and had a positive experience with Anxiety Coach. The application encouraged the families to complete exposures between sessions and allowed a detailed examination of the patients' engagement in homework assignments. Potential uses of smartphone applications to address challenges facing treatment of, and research on, OCD are discussed. The Author(s) 2013.",Clinical Case Studies,S.P.H. Whiteside and C.M. Ale and K. {Vickers Douglas} and M.S. Tiede and J.E. Dammann,2014,"female, human, mobile application, obsession, obsessive compulsive disorder, anxiety, article, child behavior, outcome assessment, psychological rating scale, child, mobile phone, cognitive therapy, school child, semi structured interview, psychologic assessment, symptom assessment, suicidal ideation, case report, childhood disease, compulsion, functional assessment, Yale Brown Obsessive Compulsive Scale, Clinical Global Impression scale, anxiety rating scale, family assessment, mayo clinic anxiety coach, mini international neuropsychiatric interview for children and adolescent",056 - Case Examples of Enhancing,056,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NOT KNOWN,NO,NO,NO,NOT KNOWN,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,Mayo Clinic Anxiety Coach,United States of America,6-Obsessive-Compulsive and related disorders,6,Obsessive-Compulsive and related disorders,NA,NA,YES,NO,NO,NO,YES,NO,NO,NO,NO,CASE REPORTS,"Both patients responded well to treatment and had a positive experience with Anxiety Coach. The application encouraged
the families to complete exposures between sessions and allowed a detailed examination of the patients’ engagement in homework assignments.",2,NA,"Use of Anxiety Coach intervention app (in case 1 as a main intervention although there is a minimal contact,  and in the second case the app is used as adjunt to the face to face treatment because this patient has severe OCD symptoms and suicide ideation.",YES,EFFECT AND USABILITY/UX,NO,United States of America
InProceedings,CBT Assistant: MHealth App for psychotherapy,"Cognitive Behavioural Therapy (CBT) is psychotherapy recommended for mental disorders such as Social Anxiety Disorder (SAD) and depression. Wide base of evidence across different studies and clinical practices shows the effectiveness and safety of CBT as compared to other types of treatment. After a face-to-face session with therapists, patients would typically carry out Homework, a central concept to CBT. Patients fill in their worksheets or diaries using pen-and-paper forms between two consecutive face-face sessions with the therapist. Homework provides crucial information about patients to the therapist. In this paper, we discuss mobile support for the delivery of CBT interventions in general, and present an Android app called CBT Assistant that supports behavioral interventions for patients suffering from SAD. CBT Assistant, highly adaptable to the specific context of a given patient. is designed for both therapists and patients, CBT Assistant provides active support for end-to-end CBT protocol including identification of stress or situations that trigger mental problems, assessing their severity, recording and then analyzing the patient's inputs. We believe that CBT Assistant can improve the efficacy of the therapy, and makes the delivery of CBT less taxing for both the therapist and patient. CBT Assistant is designed with input from technologists and therapists. It will be evaluated first by healthy subjects and then by patients receiving CBT at the National University Hospital. 2014 IEEE.",NA,T.Q.Y. Michelle and S. Jarzabek and B. Wadhwa,2014,"mHealth, Behavioral interventions, Mental disorders, Patient treatment, Mobile applications, Social anxieties, Application programs, Exposure therapy, Software engineering, Clinical practices, Cognitive Behavioural Therapy",057 - CBT Assistant,057,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NOT KNOWN,YES,NO,NOT KNOWN,NOT KNOWN,NOT KNOWN,NO,YES,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,CBT Assistant,Singapore,5-Anxiety disorders,5,Anxiety disorders,NA,Social anxiety disorder,YES,NO,NO,NO,YES,NO,NO,NO,NO,QUALITATIVE STUDY,NA,NA,not known,NA,NO,NO ASSESSMENT,NO,Singapore
Article,CBT for depression: a pilot RCT comparing mobile phone vs. computer,"Background: This paper reports the results of a pilot randomized controlled trial comparing the delivery modality (mobile phone/tablet or fixed computer) of a cognitive behavioural therapy intervention for the treatment of depression. The aim was to establish whether a previously validated computerized program (The Sadness Program) remained efficacious when delivered via a mobile application. Method: 35 participants were recruited with Major Depression (80\% female) and randomly allocated to access the program using a mobile app (on either a mobile phone or iPad) or a computer. Participants completed 6 lessons, weekly homework assignments, and received weekly email contact from a clinical psychologist or psychiatrist until completion of lesson 2. After lesson 2 email contact was only provided in response to participant request, or in response to a deterioration in psychological distress scores. The primary outcome measure was the Patient Health Questionnaire 9 (PHQ-9). Of the 35 participants recruited, 68.6\% completed 6 lessons and 65.7\% completed the 3-months follow up. Attrition was handled using mixed-model repeated-measures ANOVA. Results: Both the Mobile and Computer Groups were associated with statistically significantly benefits in the PHQ-9 at post-test. At 3 months follow up, the reduction seen for both groups remained significant. Conclusions: These results provide evidence to indicate that delivering a CBT program using a mobile application, can result in clinically significant improvements in outcomes for patients with depression.",BMC PSYCHIATRY,Sarah Watts and Anna Mackenzie and Cherian Thomas and Al Griskaitis and Louise Mewton and Alishia Williams and Gavin Andrews,2013,"Mobile app, Treatment, Cognitive behavioural therapy, Major depressive disorder, Internet treatment",058 - CBT for depression,058,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NO,NO,NOT KNOWN,YES,NOT KNOWN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,Get Happy Program,Australia,4-Depressive disorders,4,Depressive disorders,NA,NA,YES,NO,NO,NO,YES,NO,NO,NO,NO,PILOT RANDOMIZED CONTROLLED TRIAL,"Both the Mobile and Computer Groups were associated with statistically significantly benefits in the PHQ-9
at post-test. At 3 months follow up, the reduction seen for both groups remained significant.",35,NA,1. program using a mobile app (on either a mobile phone or iPad) (N=15); 2. Program using  a computer (n=20),YES,EFFECT AND USABILITY/UX,PILOT RCT,Australia
Article,Clinician Characteristics and Perceptions Related to Use of the PE (Prolonged Exposure) Coach Mobile App,"Using smartphones in the provision of evidence-based psychotherapy holds tremendous potential for enhancing care. Mental health clinicians' perceptions of smartphone-delivered interventions will affect their decision to adopt these promising innovations. As a follow-up to our early study (Kuhn et al., 2014), here we investigated mental health clinicians' (N = 271) use of a patient-facing smartphone app for prolonged exposure (PE) therapy for posttraumatic stress disorder, called PE Coach. A Web-based survey assessed clinicians' perceptions of the app using diffusion of innovations constructs. Half of the sample practicing PE in the past year reported using PE Coach, with 93.6\% intending to continue using it. For clinicians who did not use PE Coach, 77.6\% intended to use it in the future. Perceptions of PE Coach were generally favorable regarding its relative advantage over current practices, compatibility with clinicians' values and needs, complexity, trialability, and observability. Younger clinicians ({\textbackslash}textless40 years) had more favorable perceptions of the app's perceived complexity than did older clinicians ({\textbackslash}textgreater= 40 years). Clinicians owning smartphones, relative to those not, had more favorable perceptions of compatibility, complexity, and trialability. PE Coach users, relative to nonusers, had more favorable perceptions across all constructs, except trialability. Finally, after controlling for number of PE patients seen in the past year, clinician age and perceived complexity of the app significantly predicted use of PE Coach. These findings suggest that clinicians are using PE Coach and have favorable perceptions of it, but enhanced dissemination efforts may be needed to increase adoption for certain clinician groups.",PROFESSIONAL PSYCHOLOGY-RESEARCH AND PRACTICE,Eric Kuhn and Jill J. Crowley and Julia E. Hoffman and Afsoon Eftekhari and Kelly M. Ramsey and Jason E. Owen and Greg M. Reger and Josef I. Ruzek,2015,"posttraumatic stress disorder, mobile apps, mobile phone intervention, diffusion of innovations, prolonged exposure therapy",061 - Clinician Characteristics and Perceptions,061,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NOT KNOWN,YES,NO,YES,YES,YES,NO,NOT KNOWN,NO,NO,YES,YES,NO,NOT KNOWN,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,PE Coach,United States of America,7-Trauma and stressor-related disorders,7,Trauma and stressor-related disorders,NA,NA,YES,NO,NO,NO,YES,NO,NO,NO,NO,QUALITATIVE STUDY,"Half of the sample practicing PE in the past year reported using PE Coach, with 93.6% intending to continue using it. For clinicians who did not use PE Coach, 77.6% intended to use it in the future. Perceptions of PE Coach were generally favorable regarding its relative advantage over current practices, compatibility with
clinicians’ values and needs, complexity, trialability, and observability. Younger clinicians (<40 years)
had more favorable perceptions of the app’s perceived complexity than did older clinicians (> o = 40 years).
Clinicians owning smartphones, relative to those not, had more favorable perceptions of compatibility,
complexity, and trialability. PE Coach users, relative to nonusers, had more favorable perceptions across all constructs, except trialability. Finally, after controlling for number of PE patients seen in the past year,
clinician age and perceived complexity of the app significantly predicted use of PE Coach. These findings
suggest that clinicians are using PE Coach and have favorable perceptions of it, but enhanced dissemination
efforts may be needed to increase adoption for certain clinician groups.",271,NA,"Carry out a web-based survey about participants characteristics, PE use and caseload, smartphone ownership, and PE Coach use as well as other app usage in care. In addition a survey assessing clinicians' perceptions of using PE Coach in terms of its relative advantage, compatibility, complexity, trialability and observability.",YES,USABILITY/UX,NO,United States of America
Article,Clinician Perceptions of Using a Smartphone App with Prolonged Exposure Therapy,"Clinician perceptions of clinical innovations affect their adoption and spread. This study investigated mental health clinicians' (n = 163) perceptions of a patient-facing smartphone application (app) for prolonged exposure (PE) therapy for posttraumatic stress disorder, before its public release. After reading a description of the app, participants rated perceptions of it based on diffusion of innovations theory constructs. Perceptions were generally favorable regarding the app's relative advantage over existing PE practices, compatibility with their values and needs, and complexity. Age ({\textbackslash}textless40 years), smartphone ownership, and having used apps in care related to more favorable perceptions. Smartphone ownership, relative advantage, and complexity significantly predicted intention to use the app if it were available. These findings suggest that clinicians are receptive to using a PE app and that dissemination efforts should target sub-groups of PE clinicians to maximize adoption.",ADMINISTRATION AND POLICY IN MENTAL HEALTH AND MENTAL HEALTH SERVICES RESEARCH,Eric Kuhn and Afsoon Eftekhari and Julia E. Hoffman and Jill J. Crowley and Kelly M. Ramsey and Greg M. Reger and Josef I. Ruzek,2014,"Posttraumatic stress disorder, Smartphone app, Diffusion of innovations, PE coach, Prolonged exposure therapy",062 - Clinician Perceptions of Using,062,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NOT KNOWN,YES,NO,YES,YES,YES,NO,NOT KNOWN,NO,NO,YES,YES,NO,NOT KNOWN,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,PE Coach,United States of America,7-Trauma and stressor-related disorders,7,Trauma and stressor-related disorders,NA,NA,YES,NO,NO,NO,YES,NO,NO,NO,NO,QUALITATIVE STUDY,"VA PE-trained clinicians appear to hold generally
favorable perceptions of using a smartphone app as an
adjunct to PE. Clinicians agreed that the app would offer a
relative advantage to existing PE practices and would be
compatible with their own and their patients’ values and
needs and disagreed that the app would be too complicated
to use. Clinicians who were younger than 40 years old,
owned a smartphone, and had used an app in care held
more favorable perceptions than those who were older than
40, did not own a smartphone, and had not used an app in
care. Finally, owning a smartphone and having favorable
perceptions of the app’s relative advantage and complexity
were significant predictors of an intention to use the app in
the future.",163,NA,"Carry out a web-based survey about perceptions of using the PE app in terms of its relative advantage, compatibility and compleity, and participants have been completed PE taining as part of the national implementation of evidence-based treatments for PTSD.",YES,USABILITY/UX,NO,United States of America
Article,Cognitive and behavioral skills exercises completed by patients with major depression during smartphone cognitive behavioral therapy: Secondary analysis of a randomized controlled trial,"Background: A strong and growing body of evidence has demonstrated the effectiveness of cognitive behavioral therapy (CBT), either face-To-face, in person, or as self-help via the Internet, for depression. However, CBT is a complex intervention consisting of several putatively effective components, and how each component may or may not contribute to the overall effectiveness of CBT is poorly understood. Objective: The aim of this study was to investigate how the users of smartphone CBT use and benefit from various components of the program. Methods: This is a secondary analysis from a 9-week, single-blind, randomized controlled trial that has demonstrated the effectiveness of adjunctive use of smartphone CBT (Kokoro-App) over antidepressant pharmacotherapy alone among patients with drug-resistant major depressive disorder (total n=164, standardized mean difference in depression severity at week 9=0.40, J Med Internet Res). Kokoro-App consists of three cognitive behavioral skills of self-monitoring, behavioral activation, and cognitive restructuring, with corresponding worksheets to fill in. All activities of the participants learning each session of the program and completing each worksheet were uploaded onto Kokoro-Web, which each patient could use for self-check. We examined what use characteristics differentiated the more successful users of the CBT app from the less successful ones, split at the median of change in depression severity. Results: A total of 81 patients with major depression were allocated to the smartphone CBT. On average, they completed 7.0 (standard deviation [SD] 1.4) out of 8 sessions of the program; it took them 10.8 (SD 4.2) days to complete one session, during which they spent 62 min (SD 96) on the app. There were no statistically significant differences in the number of sessions completed, time spent for the program, or the number of completed self-monitoring worksheets between the beneficiaries and the nonbeneficiaries. However, the former completed more behavioral activation tasks, engaged in different types of activities, and also filled in more cognitive restructuring worksheets than the latter. Activities such as {""}test-drive a new car,{""} {""}go to a coffee shop after lunch,{""} or {""}call up an old friend{""} were found to be particularly rewarding. All cognitive restructuring strategies were found to significantly decrease the distress level, with {""}What would be your advice to a friend who has a similar problem?{""} found more helpful than some other strategies. Conclusions: The CBT program offered via smartphone and connected to the remote server is not only effective in alleviating depression but also opens a new avenue in gathering information of what and how each participant may utilize the program. The activities and strategies found useful in this analysis will provide valuable information in brush-ups of the program itself and of mobile health (mHealth) in general.",Journal of Medical Internet Research,T.A. Furukawa and M. Horikoshi and H. Fujita and N. Tsujino and R. Jinnin and Y. Kako and S. Ogawa and H. Sato and N. Kitagawa and Y. Shinagawa and Y. Ikeda and H. Imai and A. Tajika and Y. Ogawa and T. Akechi and M. Yamada and S. Shimodera and N. Watanabe and M. Inagaki and A. Hasegawa,2018,NA,063 - Cognitive and Behavioral Skills Exercises,063,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NO,NO,NO,YES,NO,NO,NO,NOT KNOWN,YES,YES,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,YES,YES,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,YES,NO,Kokoro-App,"Japan, Nagoya",4-Depressive disorders,4,Depressive disorders,NA,NA,YES,NO,NO,NO,NO,NO,NO,NO,NO,"MULTICENTER, PARALLEL-GROUP (SECONDARY ANALYSIS)
RCT (164)","On average, they completed 7.0
(standard deviation [SD] 1.4) out of 8 sessions of the program; it took them 10.8 (SD 4.2) days to complete one session, during
which they spent 62 min (SD 96) on the app. There were no statistically significant differences in the number of sessions completed,
time spent for the program, or the number of completed self-monitoring worksheets between the beneficiaries and the
nonbeneficiaries. However, the former completed more behavioral activation tasks, engaged in different types of activities, and
also filled in more cognitive restructuring worksheets than the latter.",81,"EN ESTE ESTUDIO SE PRESENTAN LOS DATOS DE 81. A total of 81 patients with major depression were allocated to the smartphone CBT. En el estudio informan de esta condición. This study focuses on the 81 patients who
were randomized to the smartphone CBT arm and describes
and analyzes the patients’ use of Kokoro-App.","multicenter, parallel-group
RCT comparing antidepressant medication switch plus
smartphone CBT against medication switch alone among
patients with antidepressant-resistant depression [",YES,EFFECT AND USABILITY/UX,NO,Japan
InProceedings,Cognitive behavioural therapy embedding smoking cessation program using smart phone Technologies,"Smoking cessation programs are widely implemented to assist smokers in the process of quitting smoking. Cognitive Behavioral Therapy (CBT) is a psychological approach which is increasingly used in smoking cessation programs. On the other hand, the recent advancements in smartphone technologies have been widely explored to develop smoking cessation apps as a tool to assist with quitting smoking. However, most of existing smartphone apps lack follow up and adherence to clinical guidelines for treatment. Therefore, there is a need for implementing behavioral change mechanisms in smoking cessation apps to help smokers quit effectively. In this paper, the proposed model which combines mobile health technology and CBT methods for an effective smartphone app-based smoking cessation system is presented. 2015 IEEE.",NA,A.H. Alsharif and N. Philip,2016,"E health, Health, mHealth, Smartphones, Cognitive-behavioral therapies, Signal encoding, Smoking cessations, Mobile health",065 - Cognitive Behavioural Therapy embedding,065,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NA,YES,YES,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,YES,NOT KNOWN,YES,YES,NO,YES,NO,NO,NOT KNOWN,NO,YES,NO,NO,NO,NO,YES,Smoke Mind,United Kingdom,16-Substance-related and addictive disorders,16,Substance-related and addictive disorders,NA,Smoking cessation,YES,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,Not known,NA,NO,NO ASSESSMENT,NO,United Kingdom
Article,Comparison of Prolonged Exposure (PE) Coach to Treatment as Usual: A Case Series With Two Active Duty Soldiers,"PE Coach is a mobile application (app) designed as a treatment companion to support patient and provider work during prolonged exposure (PE), a first-line treatment for posttraumatic stress disorder. Little research exists about patients' and providers' reactions to mobile apps in the context of psychotherapy. The present study examined PE Coach with 2 soldiers to assess usability and satisfaction with the app. Soldiers completed 8 sessions of PE and used PE Coach during 4 of those sessions. Soldiers rated the PE Coach positively and reported higher levels of satisfaction during PE with PE Coach as compared with PE alone. Authors discuss their clinical observations from using PE Coach. The soldier and provider experiences demonstrate the potential value of PE Coach in enhancing treatment engagement and support the value of future research exploring mobile computing platforms to support evidence-based treatments, in general.",MILITARY PSYCHOLOGY,Greg M. Reger and Nancy A. Skopp and Amanda Edwards-Stewart and Eder L. Lemus,2015,"posttraumatic stress disorder, exposure therapy, mobile applications, PE Coach",069 - Comparison of Prolonged Exposure,069,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NOT KNOWN,YES,NO,YES,YES,YES,NO,NOT KNOWN,NO,NO,YES,YES,NO,NOT KNOWN,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,PE Coach,"United States of America, Washington",7-Trauma and stressor-related disorders,7,Trauma and stressor-related disorders,NA,Post-traumatic stress disorder,YES,NO,NO,NO,NO,NO,NO,NO,NO,CASE SERIES,"Soldiers
rated the PE Coach positively and reported higher levels of satisfaction during PE with
PE Coach as compared with PE alone",2,NA,NA,YES,EFFECT AND USABILITY/UX,NO,United States of America
